,All Blood Samples†,Capillary† Samples,,Venous Samples,,,,,,
49938,114,6,5.3,*,*,*,*,*,*,*
49942,1,0,‐,0,‐,0,‐,0,0,‐
49945,34,*,*,0,‐,*,*,*,0,‐
49946,88,0,‐,0,‐,0,‐,0,0,‐
49947,1,0,‐,0,‐,0,‐,0,0,‐
49948,11,0,‐,0,‐,0,‐,0,0,‐
49950,16,0,‐,0,‐,0,‐,0,0,‐
49952,1,0,‐,0,‐,0,‐,0,0,‐
49953,22,*,*,0,‐,*,*,*,0,‐
49955,7,0,‐,0,‐,0,‐,0,0,‐
49958,12,0,‐,0,‐,0,‐,0,0,‐
49959,3,0,‐,0,‐,0,‐,0,0,‐
49960,1,0,‐,0,‐,0,‐,0,0,‐
49961,3,0,‐,0,‐,0,‐,0,0,‐
49962,2,0,‐,0,‐,0,‐,0,0,‐
49963,18,*,*,0,‐,*,*,*,0,‐
49965,3,0,‐,0,‐,0,‐,0,0,‐
49967,1,0,‐,0,‐,0,‐,0,0,‐
49968,29,0,‐,0,‐,0,‐,0,0,‐
49969,19,0,‐,0,‐,0,‐,0,0,‐
49971,1,0,‐,0,‐,0,‐,0,0,‐
